//type	pos_x	pos_y	pos_z	dir_x	dir_y	dir_z	size	h	R		G		B//
cone	12		-10		5		-1		0		1		0.3		0.1	255		125		50
cone	0		-40		0		0		0		1		0.3		0.1	255		0		125
sphere	-3		-40		-11		/		/		/		8		/	225		225		20
sphere	3		-43		-10		/		/		/		5		/	20		225		225
sphere	5		-46		-8		/		/		/		2		/	0		0		0
sphere	5		-41		-7		/		/		/		2		/	0		0		0
sphere	-5		-42		-5		/		/		/		2		/	250		0		0
sphere	-8.4	-42		-8.5	/		/		/		2		/	250		0		0
sphere	-3		-46		-7		/		/		/		2		/	250		0		0
sphere	-6.5	-45.5	-10		/		/		/		2		/	250		0		0
plan	5		5		5		0		1		0		/		/	90		90		905
plan	0		0		-12		0		0		1		/		/	0		255		75
plan	0		0		12		0		0		1		/		/	0		75		255
plan	-20		1000		2		1		0		0		/		/	125		125		125
plan	20		1000		2		1		0		0		/		/	125		125		125
//end
